Rating,Ave_Salary,Founded_Years,City,State,Max_Company_Size,Highest_Revenue,Max_USD_Revenue,Python_knowledge,MatLab_knowledge,PowerBI_knowledge,SQL_knowledge,ETL_knowledge,Math_knowledge,Work_Remote,GitHub_works,DataB_knowledge,Jobs
4.7,143.5,5.0,Saint Louis,MO,200.0,1,1.0,1,0,0,1,0,1,0,0,0,1
4.1,73.5,13.0,Baltimore,MD,1000.0,1,1.0,0,0,0,0,0,1,0,0,0,1
3.4,95.0,21.0,Dallas,TX,500.0,2,2000000000.0,1,0,1,1,0,0,0,0,1,1
4.4,107.0,21.0,Cincinnati,OH,500.0,1,1.0,1,0,1,1,1,1,0,0,1,1
4.3,115.0,10.0,New York,NY,500.0,25,25000000.0,1,0,0,1,0,0,0,0,0,1
3.8,139.5,15.0,Palo Alto,CA,1000.0,100,100000000.0,0,0,0,1,0,0,0,0,0,1
3.8,67.0,56.0,Richland,WA,5000.0,1,1000000000.0,0,0,0,0,0,1,0,0,0,1
3.8,85.0,73.0,Coraopolis,PA,10000.0,10,10000000000.0,1,0,0,1,0,1,0,0,0,1
2.8,118.0,15.0,Framingham,MA,200.0,5,5000000.0,1,0,0,1,0,1,0,0,0,1
4.7,79.5,18.0,Atlanta,GA,200.0,50,50000000.0,1,0,0,1,1,0,0,0,0,1
3.1,56.5,22.0,Boston,MA,500.0,500,500000000.0,1,0,0,1,1,1,0,0,1,1
3.2,128.5,0.0,Philadelphia,PA,50.0,10,10000000.0,1,0,0,1,0,0,0,0,1,1
4.0,97.5,82.0,Vancouver,WA,10000.0,1,1.0,0,0,0,0,0,1,0,0,0,1
4.4,66.5,6.0,Indianapolis,IN,50.0,1,1.0,1,0,0,0,0,1,0,0,0,1
3.6,179.5,94.0,Lake Forest,IL,10000.0,10,10000000000.0,1,0,0,1,0,1,0,0,0,1
2.7,76.0,43.0,Maryland Heights,MO,1000.0,100,100000000.0,0,0,0,0,0,0,0,0,0,1
3.9,112.0,11.0,Charlottesville,VA,1000.0,500,500000000.0,1,0,0,1,1,0,0,0,1,1
3.1,98.0,21.0,Pittsburgh,PA,5000.0,2,2000000000.0,1,0,0,0,0,0,0,0,0,1
4.0,128.0,82.0,Vancouver,WA,10000.0,1,1.0,0,0,0,1,0,1,0,0,0,1
4.3,150.5,10.0,Mountain View,CA,500.0,1,1.0,1,0,0,0,0,0,0,0,0,1
1.9,87.5,21.0,Cambridge,MA,200.0,25,25000000.0,0,0,0,0,0,1,0,0,0,1
3.3,110.0,4.0,Chantilly,VA,5000.0,2,2000000000.0,1,1,0,0,0,1,0,0,0,1
4.4,113.5,26.0,San Jose,CA,10000.0,1,1000000000.0,1,0,0,0,0,0,0,0,0,1
3.9,124.0,5.0,San Francisco,CA,200.0,5,5000000.0,1,0,0,1,1,1,0,0,0,1
4.7,56.5,24.0,Harrisburg,PA,500.0,50,50000000.0,0,0,0,0,0,0,0,0,0,1
4.5,130.0,79.0,Laurel,MD,10000.0,2,2000000000.0,1,0,0,0,0,1,0,0,0,1
4.3,77.5,13.0,Chicago,IL,200.0,25,25000000.0,0,0,0,1,0,0,0,0,1,1
4.0,87.0,19.0,Arlington,VA,500.0,100,100000000.0,1,0,0,1,0,0,0,0,1,1
4.4,53.5,73.0,Tacoma,WA,1000.0,500,500000000.0,0,0,0,0,0,0,0,0,1,1
3.2,139.0,59.0,Plano,TX,10000.0,10,10000000000.0,0,1,0,1,0,0,0,0,0,1
3.8,114.0,16.0,San Jose,CA,500.0,50,50000000.0,1,0,0,1,0,1,0,0,1,1
4.2,85.5,13.0,Miami,FL,1000.0,500,500000000.0,1,0,0,1,0,0,0,0,0,1
4.5,48.0,25.0,Huntsville,AL,200.0,50,50000000.0,0,0,0,1,0,0,0,0,1,1
3.5,48.0,22.0,New Orleans,LA,200.0,1,1.0,0,0,0,1,0,0,0,0,1,1
3.5,174.0,31.0,San Francisco,CA,500.0,500,500000000.0,0,0,0,0,0,0,0,0,0,1
3.9,85.0,53.0,Atlanta,GA,10000.0,2,2000000000.0,1,0,0,1,0,0,0,0,0,1
4.7,106.5,18.0,Landover,MD,200.0,25,25000000.0,0,0,0,0,0,0,0,0,1,1
4.2,72.5,33.0,Patuxent River,MD,5000.0,500,500000000.0,0,0,0,0,0,0,0,0,0,1
3.4,85.5,25.0,Suitland,MD,10000.0,10,10000000000.0,0,0,0,0,0,0,0,0,1,1
3.2,97.5,63.0,McLean,VA,10000.0,2,2000000000.0,1,1,1,1,0,0,0,0,1,1
3.9,99.0,11.0,Fort Belvoir,VA,1000.0,500,500000000.0,1,0,0,0,0,1,0,0,1,1
3.1,56.5,20.0,Milwaukee,WI,5000.0,5,5000000000.0,0,0,0,1,1,0,0,0,1,1
4.1,133.0,14.0,Silver Spring,MD,50.0,1,1.0,1,0,0,0,0,0,0,0,0,1
3.8,121.0,9.0,New York,NY,200.0,1,1.0,1,0,0,0,0,1,0,0,1,1
4.7,85.5,29.0,Syracuse,NY,1000.0,1,1.0,1,0,0,1,0,1,0,0,1,1
4.3,87.5,6.0,Houston,TX,5000.0,1,1.0,1,0,0,1,0,0,0,0,1,1
4.2,237.5,86.0,Washington,DC,5000.0,1,1.0,1,0,0,0,0,1,0,0,0,1
3.9,95.5,24.0,Charlotte,NC,5000.0,500,500000000.0,1,0,0,1,1,0,0,0,1,1
3.3,104.5,27.0,Southfield,MI,10000.0,10,10000000000.0,1,0,1,1,1,1,0,0,0,1
4.7,56.5,9.0,Matawan,NJ,500.0,1,1.0,0,0,0,1,0,0,0,0,1,1
4.3,55.0,11.0,Phoenix,AZ,500.0,50,50000000.0,0,0,1,1,0,0,0,0,1,1
2.9,61.5,44.0,Omaha,NE,5000.0,1,1.0,0,0,0,0,0,0,0,0,0,1
4.5,157.0,15.0,San Francisco,CA,500.0,500,500000000.0,0,0,0,0,0,0,0,0,1,1
3.4,78.0,2.0,Lyndhurst,NJ,500.0,1,1.0,1,0,0,1,1,0,0,1,1,1
3.7,113.5,21.0,Cambridge,MA,10000.0,10,10000000000.0,1,0,0,1,0,0,0,0,0,1
4.6,140.0,12.0,New York,NY,200.0,500,500000000.0,1,0,0,0,0,0,0,0,0,1
3.2,132.5,6.0,San Francisco,CA,200.0,1,1.0,0,0,0,0,0,1,0,0,0,1
4.0,108.0,39.0,San Francisco,CA,10000.0,5,5000000000.0,1,0,0,1,1,1,0,0,0,1
4.6,80.5,84.0,Atlanta,IN,1000.0,100,100000000.0,0,0,0,0,0,0,0,0,0,1
2.8,107.5,21.0,Rockville,MD,500.0,1,1.0,1,0,0,0,0,0,0,0,1,1
4.7,95.0,25.0,Minneapolis,MN,200.0,50,50000000.0,0,0,0,1,0,0,0,0,0,1
3.0,119.5,24.0,Los Angeles,CA,5000.0,1,1.0,1,0,0,1,0,0,0,0,1,1
3.2,134.0,21.0,Charlotte,NC,5000.0,2,2000000000.0,0,0,0,1,1,0,0,0,1,1
4.4,100.5,22.0,Cambridge,MA,500.0,1,1.0,1,0,1,1,0,1,0,0,0,1
3.5,107.5,21.0,Cincinnati,OH,5000.0,1,1000000000.0,1,0,0,1,0,0,0,0,1,1
4.0,122.0,6.0,Washington,DC,200.0,1,1.0,1,0,0,1,0,0,0,0,1,1
4.3,92.5,28.0,Chicago,IL,5000.0,5,5000000000.0,1,0,0,1,0,1,0,1,1,1
2.3,62.0,35.0,Baltimore,MD,1000.0,500,500000000.0,0,0,0,1,0,0,0,0,1,1
4.0,39.5,21.0,Alabaster,AL,200.0,50,50000000.0,0,0,0,0,0,0,0,0,0,1
3.6,107.5,55.0,"Santa Fe Springs, Los Angeles",CA,5000.0,500,500000000.0,0,0,0,0,0,1,0,0,1,1
3.8,40.5,4.0,Kansas City,MO,1000.0,1,1.0,1,0,0,1,1,1,0,0,1,1
3.7,89.5,63.0,Ashburn,VA,10000.0,10,10000000000.0,1,0,0,1,0,0,1,0,0,1
4.4,81.0,13.0,Chicago,IL,500.0,100,100000000.0,1,0,0,1,0,0,0,0,0,1
4.0,147.0,9.0,Herndon,VA,1000.0,500,500000000.0,1,0,0,0,0,0,0,0,0,1
3.2,85.0,63.0,Fort Worth,TX,5000.0,500,500000000.0,1,0,1,1,0,0,0,0,1,1
2.9,81.5,50.0,Valencia,CA,5000.0,2,2000000000.0,0,0,0,0,0,1,0,0,0,1
3.8,168.0,24.0,Novato,CA,5000.0,1,1000000000.0,0,0,0,0,0,0,0,0,0,1
4.3,100.5,14.0,Aurora,CO,50.0,1,1.0,1,0,0,1,0,0,0,0,1,1
3.4,97.0,78.0,New York,NY,5000.0,500,500000000.0,1,0,0,1,0,1,0,0,1,1
4.1,85.0,53.0,Chantilly,VA,10000.0,2,2000000000.0,0,0,0,1,0,1,0,0,1,1
4.3,153.5,10.0,Mountain View,CA,500.0,1,1.0,1,0,0,0,0,1,0,0,1,1
5.0,132.5,4.0,Tampa,FL,200.0,1,1.0,0,0,0,0,1,0,0,0,0,1
4.3,100.0,13.0,Chicago,IL,200.0,25,25000000.0,0,0,0,1,0,0,0,0,1,1
